"" "allen::affectionate" "allen::alone" "allen::fine" "allen::good" "allen::great" "allen::happy" "allen::kind" "allen::little" "allen::open" "allen::pretty" "allen::satisfied" "allen::short" "allen::trusted" "allen::wealthy" "allen::well" "allen::young" "andrews::beautiful" "anne_thorpe::fair" "anne_thorpe::pretty" "anne::short" "bath::plain" "bath::satisfied" "beechen_cliff::beautiful" "belle::clever" "camilla::young" "catherine_morland::forward" "catherine_morland::respected" "catherine_morland::wealthy" "catherine::#-sensible" "catherine::#-strange" "catherine::affectionate" "catherine::afraid" "catherine::agreeable" "catherine::angry" "catherine::anxious" "catherine::ashamed" "catherine::awake" "catherine::bad" "catherine::bright" "catherine::charming" "catherine::cold" "catherine::comfortable" "catherine::concerned" "catherine::cruel" "catherine::decent" "catherine::delighted" "catherine::delightful" "catherine::determined" "catherine::disappointed" "catherine::disturbed" "catherine::eager" "catherine::embarrassed" "catherine::excellent" "catherine::extraordinary" "catherine::fair" "catherine::faithful" "catherine::famous" "catherine::fine" "catherine::forward" "catherine::generous" "catherine::gentle" "catherine::good" "catherine::good-looking" "catherine::good-natured" "catherine::great" "catherine::greedy" "catherine::handsome" "catherine::happy" "catherine::hard" "catherine::honest" "catherine::impatient" "catherine::important" "catherine::involved" "catherine::irritated" "catherine::kind" "catherine::little" "catherine::loud" "catherine::lovely" "catherine::mean" "catherine::open" "catherine::ordinary" "catherine::plain" "catherine::poor" "catherine::pretty" "catherine::private" "catherine::proud" "catherine::quiet" "catherine::reasonable" "catherine::respected" "catherine::rich" "catherine::satisfied" "catherine::secure" "catherine::short" "catherine::strange" "catherine::stubborn" "catherine::stupid" "catherine::surprised" "catherine::sweet" "catherine::thinking" "catherine::tired" "catherine::trusting" "catherine::uncomfortable" "catherine::understanding" "catherine::unreasonable" "catherine::warm" "catherine::wealthy" "catherine::well" "catherine::worthy" "catherine::young" "catherine::youthful" "clifton::disturbed" "clifton::good" "clifton::private" "clifton::quiet" "drummond::beautiful" "edgar::young" "eleanor_tilney::disappointed" "eleanor_tilney::evil" "eleanor_tilney::giving" "eleanor_tilney::good" "eleanor_tilney::hard" "eleanor_tilney::kind" "eleanor_tilney::little" "eleanor_tilney::open" "eleanor_tilney::pleasing" "eleanor_tilney::reasonable" "eleanor_tilney::strange" "eleanor_tilney::thinking" "eleanor_tilney::well" "eleanor::angry" "eleanor::bad" "eleanor::determined" "eleanor::good" "eleanor::great" "eleanor::honest" "eleanor::lovely" "eleanor::positive" "eleanor::short" "eleanor::strong" "eleanor::sweet" "eleanor::thinking" "eleanor::unhappy" "eleanor::well-known" "emilie::poor" "frederick::afraid" "frederick::agreeable" "frederick::unhappy" "frederick::young" "george::extraordinary" "george::stupid" "george::young" "harriet::extraordinary" "harriet::stupid" "harriet::young" "henry_tilney::giving" "henry_tilney::good" "henry_tilney::hard" "henry_tilney::kind" "henry_tilney::little" "henry_tilney::open" "henry_tilney::pleasing" "henry_tilney::reasonable" "henry_tilney::well" "henry::awful" "henry::cheerful" "henry::cool" "henry::determined" "henry::glad" "henry::great" "henry::happy" "henry::little" "henry::lovely" "henry::open" "henry::short" "henry::unhappy" "henry::young" "isabella_thorpe::poor" "isabella::#-sensible" "isabella::afraid" "isabella::charming" "isabella::cold" "isabella::cool" "isabella::disturbed" "isabella::eager" "isabella::excellent" "isabella::extraordinary" "isabella::fair" "isabella::faithful" "isabella::fine" "isabella::fortunate" "isabella::forward" "isabella::giving" "isabella::good" "isabella::great" "isabella::impatient" "isabella::natural" "isabella::pleased" "isabella::poor" "isabella::pretty" "isabella::private" "isabella::quiet" "isabella::respected" "isabella::satisfied" "isabella::short" "isabella::strange" "isabella::stubborn" "isabella::wealthy" "isabella::well" "jackson::cheap" "james_morland::delightful" "james_morland::fortunate" "james_morland::forward" "james_morland::little" "james_morland::respected" "james_morland::surprised" "james_morland::wealthy" "james_morland::young" "james::afraid" "james::certain" "james::charming" "james::eager" "james::extraordinary" "james::good" "james::great" "james::hard" "james::impatient" "james::kind" "james::little" "james::short" "james::stupid" "james::young" "john_thorpe::agreeable" "john_thorpe::alone" "john_thorpe::fair" "john_thorpe::giving" "john_thorpe::gracious" "john_thorpe::little" "john_thorpe::loud" "john_thorpe::open" "john_thorpe::surprised" "john_thorpe::unreasonable" "john::afraid" "john::alone" "john::charming" "maria_thorpe::fair" "maria_thorpe::pretty" "maria::charming" "maria::short" "miss_morland::young" "morland::affectionate" "morland::anxious" "morland::disturbed" "morland::forward" "morland::gentle" "morland::good" "morland::gracious" "morland::great" "morland::handsome" "morland::little" "morland::loud" "morland::open" "morland::playful" "morland::private" "morland::satisfied" "morland::wealthy" "morland::young" "mrs_allen::agreeable" "mrs_allen::charming" "mrs_allen::delightful" "mrs_allen::fair" "mrs_allen::good" "mrs_allen::great" "mrs_allen::little" "mrs_allen::pleasant" "mrs_allen::short" "mrs_allen::stubborn" "mrs_allen::unreasonable" "mrs_allen::wealthy" "mrs_allen::young" "mrs_hughes::beautiful" "mrs_morland::#-pleased" "mrs_morland::extraordinary" "mrs_morland::generous" "mrs_morland::good" "mrs_morland::kind" "mrs_morland::pretty" "mrs_morland::stupid" "mrs_morland::young" "mrs_thorpe::agreeable" "mrs_thorpe::gentle" "mrs_thorpe::little" "mrs_thorpe::surprised" "mrs_thorpe::unreasonable" "mrs_thorpe::young" "mrs_tilney::beautiful" "richard::#-handsome" "richard::extraordinary" "richard::kind" "richard::neglected" "richard::poor" "richard::stupid" "richard::young" "richie::extraordinary" "richie::stupid" "richie::young" "sally::young" "sarah::strange" "st._aubin::beautiful" "thompson::delightful" "thorpe::affectionate" "thorpe::anxious" "thorpe::bright" "thorpe::delightful" "thorpe::forward" "thorpe::good" "thorpe::great" "thorpe::greedy" "thorpe::loud" "thorpe::open" "thorpe::respected" "thorpe::short" "thorpe::surprised" "thorpe::trusting" "tilney::agreeable" "tilney::anxious" "tilney::cold" "tilney::embarrassed" "tilney::good" "tilney::happy" "tilney::interested" "tilney::little" "tilney::open" "tilney::pleased" "tom_jones::ashamed" "thorpe::satisfied" "allen::old" "mrs_allen::alone" "allen::harmless" "mrs_allen::happy" "tilney::young" "mrs_allen::kind" "tilney::short" "mrs_allen::trusted" "thorpe::wealthy" "sarah::young" "hunt::beautiful" "mrs_thorpe::fair" "thorpe::pretty" "morland::short" "tilney::plain" "mrs_allen::satisfied" "beechen_cliff::determined" "morland::clever" "cecilia::young" "thorpe::#-sensible" "catherine::wonderful" "tilney::affectionate" "john::impatient" "mrs_allen::afraid" "mrs_allen::worthy" "thorpe::agreeable" "tilney::unreasonable" "eleanor::poor" "tom_jones::decent" "catherine::pleasing" "maria::delightful" "catherine::old" "thorpe::cruel" "thorpe::delighted" "thorpe::determined" "isabella::disappointed" "morland::quiet" "james::fine" "isabella::plain" "sarah::extraordinary" "henry::forward" "tilney::forward" "tilney::generous" "catherine::sympathetic" "tilney::great" "catherine::pleased" "thorpe::good-natured" "sarah::great" "thorpe::private" "catherine::strong" "catherine::pleasant" "thorpe::important" "isabella::irritated" "isabella::kind" "richard::pretty" "isabella::little" "thorpe::little" "henry::thinking" "henry::mean" "henry::ordinary" "isabella::uncomfortable" "mrs_allen::poor" "thorpe::poor" "thorpe::proud" "isabella::reasonable" "henry::rich" "mrs_allen::rich" "tilney::secure" "henry_tilney::strange" "sarah::youthful" "tilney::stubborn" "sarah::stupid" "thorpe::young" "tilney::surprised" "james::sweet" "catherine::well-known" "tilney::tired" "tilney::understanding" "isabella::warm" "mrs_radcliffe::warm" "isabella::young" "tilney::beautiful" "henry_tilney::disappointed" "henry_tilney::evil" "henry::good" "mrs_morland::little" "thorpe::hard" "henry_tilney::thinking" "tilney::pleasing" "tilney::reasonable" "henry::sweet" "isabella::unhappy" "henry::honest" "henry::positive" "eleanor::well" "henry::strong" "henry::well-known" "valancourt::poor" "henry::afraid" "henry::agreeable" "morland::unhappy" "henry::old" "tilney::cool" "henry::sensible" "tilney::poor" "isabella::glad" "james::excellent" "mrs_thorpe::fortunate" "john_thorpe::short" "james::natural" "tilney::well" "tilney::strange" "morland::cheap" "james_morland::tired" "james::poor" "james::troubled" "miss_morland::alone" "john::pretty" "tilney::charming" "mrs_thorpe::handsome" "thorpe::playful" "mrs_allen::tired" "thorpe::pleasant" "mrs_morland::glad" "richard::generous" "richard::respectable" "st._aubin::poor" "thompson::young" "thorpe::giving" "tilney::polite"
"allen::satisfied" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"allen::short" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"allen::trusted" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"allen::wealthy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"allen::well" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"allen::young" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"andrews::beautiful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anne_thorpe::fair" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anne_thorpe::pretty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"anne::short" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
