"" "abandoned" "abrupt" "acute" "affable" "affectionate" "aloof" "alternative" "animated" "assiduous" "assured" "awkward" "bashful" "beau" "benevolent" "bitter" "bold" "brutal" "brute" "buck" "busy" "called" "callous" "calm" "candid" "capricious" "careful" "careless" "certain" "cheerful" "circumspect" "clean" "close" "cold" "coming" "commanding" "communicative" "compassionate" "complimentary" "conceited" "concise" "condescending" "confident" "congenial" "connoisseur" "considerate" "constant" "constrained" "contained" "continuing" "contrary" "conversation" "cordial" "cowardly" "coy" "critical" "cunning" "curious" "dainty" "daring" "dauntless" "decided" "decisive" "delicate" "dependent" "detached" "determined" "dignified" "diligent" "direct" "disrespectful" "dissatisfied" "doleful" "domestic" "duplicity" "dutiful" "earnest" "easy" "effrontery" "envious" "evasive" "even" "exact" "exacting" "explicit" "expressive" "face" "faithful" "familiar" "fan" "fast" "fearful" "fearless" "feel" "feminine" "fervent" "finical" "finish" "firm" "foppish" "forbearing" "forcible" "forgetful" "formal" "forward" "free" "fresh" "friendly" "frigid" "frivolous" "game" "gay" "general" "generous" "genteel" "gentle" "giddy" "girl" "gloomy" "good-humoured" "good-natured" "graceful" "grateful" "grave" "grumpy" "guileless" "handsome" "hasty" "hateful" "haughty" "having" "hearty" "heavy" "heedless" "helpless" "honest" "hopeful" "hospitable" "humane" "humble" "hurried" "icy" "ill-tempered" "immovable" "impatient" "imperious" "impetuous" "impudent" "inconsiderate" "incredulous" "independent" "indifferent" "indirect" "indolent" "indulgent" "ingenuous" "ingrate" "inquisitive" "insolent" "intense" "intimate" "invariable" "inviolable" "inward" "ironical" "irresolute" "jelly" "jingo" "joyful" "kind" "knowing" "languid" "lassitude" "lavish" "lawless" "libertine" "licentious" "literal" "lively" "loud" "low-spirited" "malevolent" "malicious" "masculine" "maternal" "mechanical" "melancholy" "merry" "mild" "moderate" "modest" "mouth" "mute" "narrative" "natural" "negative" "negligent" "nervous" "nigh" "noble-minded" "noisy" "nous" "obedient" "obsequious" "obstinate" "officious" "open" "pack" "pagan" "partial" "particular" "passionate" "passive" "paternal" "patient" "peaceful" "penitent" "peremptory" "pert" "phlegmatic" "pitiless" "placid" "pleasant" "polite" "prejudiced" "presumptuous" "prompt" "proud" "prudent" "punctilious" "quarrelsome" "quick" "quiet" "rapid" "rash" "refined" "regardless" "reserved" "resolute" "resolved" "respectful" "responsible" "restless" "restrained" "retiring" "romantic" "rude" "runaway" "sad" "sarcastic" "saucy" "scold" "second" "sensible" "sentimental" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "smooth" "sociable" "social" "soft" "sorrowful" "speedy" "spirit" "spirited" "spiritless" "spiteful" "sprightly" "staid" "steady" "stiff" "still" "stormy" "straight" "strict" "strong" "sudden" "sufficient" "sulky" "sullen" "supercilious" "sure" "sure-footed" "surly" "sweet" "swift" "tacit" "tardy" "tenacious" "tender" "tender-hearted" "thankful" "thoughtful" "thoughtless" "tight" "timid" "toward" "tranquil" "treasonable" "true" "turbulent" "tyrannical" "ugly" "unamiable" "unassuming" "unbridled" "uncertain" "unfeeling" "ungentle" "ungrateful" "unguarded" "unhappy" "unkindly" "unmerciful" "unpolite" "unruly" "unsociable" "unsteady" "unsuspecting" "uppish" "urgent" "vain" "vehement" "vigilant" "violent" "voracious" "weak" "virtuous" "willing" "stately" "unremitting" "unrelenting" "visionary" "termagant" "unerring" "whilst" "whimsical" "witty" "suspicious" "unkind"
"frivolous" 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"game" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gay" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 6 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 7 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 2 1 0 2 2 3 0 0 1 1 0 1 0 1 0 0 0 0 3 0 2 0 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 0 1 3 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 3 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 0 1 1 0 0 1 0 1 2 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 5 0 2 0 0 0 1 0 0 0 5 0 1 2 0 0 0 0 0 1 1 1 1 0 0 1 0 0 2 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 3 0 0 1 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0
"general" 1 1 0 0 2 1 0 2 1 2 0 0 2 1 0 3 2 0 0 1 12 0 2 0 1 0 2 2 1 1 0 0 3 6 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 14 0 0 1 0 1 2 0 3 0 2 0 1 0 0 13 0 0 1 1 1 1 1 2 3 1 3 1 1 0 16 1 1 1 0 10 0 3 0 3 0 0 9 0 0 1 0 0 1 0 0 1 2 6 2 1 0 1 0 1 2 0 4 3 2 2 3 0 1 0 0 3 4 0 0 1 1 0 1 15 2 2 1 1 0 0 1 1 3 3 0 0 0 2 1 1 1 0 0 1 2 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 4 6 0 0 1 0 1 1 0 3 5 1 0 2 0 0 1 1 1 1 0 1 2 0 0 3 0 1 0 0 0 1 0 1 1 0 1 5 0 0 1 7 1 0 0 0 2 0 1 1 0 0 0 1 5 0 1 0 1 0 1 0 7 1 0 0 0 3 1 0 1 4 1 0 1 2 0 1 1 1 0 0 0 5 3 0 0 1 2 1 6 2 0 1 0 0 0 0 1 1 3 1 0 0 0 1 0 0 9 0 2 0 2 3 4 0 0 0 21 0 0 6 0 0 0 1 0 0 1 1 0 0 1 0 1 0 4 0 0 2 0 1 0 0 0 0 0 1 6 0 0 0 0 0 1 1 0 1 6 1 0 3 0 3 1 1 1 0 1 0 0 0 0 2 0 0 0
"generous" 1 0 0 0 0 0 1 2 0 3 0 0 0 1 0 1 0 0 0 0 4 0 0 0 0 1 0 2 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 2 9 0 0 0 0 0 0 0 0 1 0 0 2 2 1 6 0 0 0 0 1 0 0 1 0 1 4 0 0 0 13 0 0 0 0 5 1 0 0 0 1 0 8 0 0 0 0 1 0 0 0 2 0 1 3 0 1 0 0 0 1 4 0 0 1 0 2 0 0 0 0 4 0 0 0 0 1 0 0 4 0 1 0 2 0 0 0 3 3 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 4 2 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 3 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0 2 0 0 4 1 0 0 0 0 1 0 0 0 3 0 0 0 0 1 0 0 9 0 0 0 3 1 1 0 0 0 8 0 0 3 0 0 0 0 1 0 1 0 0 0 1 0 1 0 2 0 0 0 2 0 0 0 1 1 3 0 6 0 0 0 0 0 0 0 0 2 3 0 0 3 0 4 0 2 0 0 1 0 0 0 0 0 0 0 0
"genteel" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 3 0 0 0 0 1 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"gentle" 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 3 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 1 0 1 1 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 1 1 1 0 1 1 0 1 4 1 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 2 2 1 0 0 0 1 0 0 0 0 0 2 0 1 0 1 0 0 4 2 0 0 1 0 0 0 0 2 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 1 4 0 0 1 3 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 2 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 1 0 2 0 0 0 3 1 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"giddy" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 2 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 3 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0
"girl" 0 1 0 0 3 0 0 0 0 4 1 1 0 1 1 0 1 0 1 0 7 0 0 0 0 0 0 3 3 0 0 1 1 4 1 0 0 0 1 1 0 1 1 0 0 0 0 1 1 2 8 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 3 0 1 0 0 0 0 2 2 1 0 1 12 1 1 0 0 7 2 0 0 3 1 0 5 0 0 0 2 0 0 1 0 0 0 6 3 0 2 0 0 0 3 3 2 0 1 2 0 0 1 1 1 1 2 0 0 0 1 1 0 6 1 1 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 6 5 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 4 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0 3 0 0 1 2 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 5 0 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 4 3 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 10 0 1 0 4 0 4 0 0 0 10 0 0 3 0 0 1 1 1 1 2 2 0 1 1 0 1 0 2 0 0 1 1 0 0 1 1 1 3 0 3 0 0 0 0 0 0 1 1 1 4 0 0 3 0 7 0 2 0 0 0 0 0 1 0 0 0 0 0
"gloomy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"good-humoured" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"good-natured" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"graceful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"grateful" 1 1 0 0 2 0 0 0 0 4 1 0 1 0 0 2 0 1 0 0 11 1 1 1 0 2 2 2 1 1 0 0 2 4 0 1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 8 0 0 0 0 0 1 0 0 1 1 0 2 1 1 6 1 1 0 0 0 0 0 0 1 0 4 0 0 0 9 0 0 2 1 5 1 0 0 1 0 0 8 0 0 0 2 1 0 0 0 1 0 1 3 0 1 0 0 0 0 3 4 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 10 1 0 0 1 0 0 2 0 3 2 0 0 1 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 8 4 1 0 0 0 0 0 0 2 4 0 0 0 0 0 0 4 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 4 0 1 0 1 0 0 2 5 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 2 0 0 2 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 4 4 0 0 4 1 0 7 2 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 8 0 0 0 2 3 3 1 1 0 12 0 0 6 0 0 0 0 2 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1 0 2 2 8 0 0 0 0 0 1 1 0 0 3 1 0 3 0 4 0 1 0 1 0 0 0 0 1 0 1 1 0
"grave" 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 2 2 0 0 0 4 0 0 0 0 0 0 1 3 0 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 7 1 0 0 0 0 1 1 1 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 1 0 0 0 7 0 0 0 1 5 0 0 0 1 1 0 5 2 1 0 2 1 0 0 0 0 0 5 2 0 0 1 0 0 1 4 0 0 2 1 2 0 1 0 0 1 0 0 1 0 0 0 0 4 2 1 0 3 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 1 0 1 0 0 0 0 2 1 1 0 0 0 1 0 1 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 4 1 0 5 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 4 1 0 0 2 1 1 0 0 0 7 0 0 2 0 0 0 1 0 0 0 3 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 1 4 1 0 0 0 0 0 0 0 0 0 0 0 0
"grumpy" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"guileless" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
